source_type,number,author,title,year,source_report,primary_batch,secondary_batches,status,structure_verification,source_verification,content_verification,verification_reason,validation_issues,enhanced_reports,master_number,note
book,0155,Gaiter,Visualizing a Black Future Emory Douglas and the Black Panther Party,待核定,01-book-report/0155 - Gaiter：《Visualizing a Black Future Emory Douglas and the Black Panther Party》.深度报告.md,Batch 05,Batch 02、Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0155-Colette-Gaiter-Visualizing-a-Black-Future-Emory-Douglas-and-the-Black-Panther-Party-enhanced.md,,
book,0156,"Gallo, Max","The Poster in History, 1974",1974,"01-book-report/0156 - Gallo, Max：The Poster in History, 1974.深度报告.md",Batch 05,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0156-Max-Gallo-The-Poster-in-History-enhanced.md,,
book,0157,Garrett,The elements of user experience user-centered design for the Web and beyond,待核定,01-book-report/0157 - Garrett：《The elements of user experience user-centered design for the Web and beyond》.深度报告.md,Batch 06,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0157-Jesse-James-Garrett-The-Elements-of-User-Experience-enhanced.md,,
book,0158,Gennifer Weisenfeld.,"Mavo Japanese Artists and the Avant-Garde, 1905-1931",1931,"01-book-report/0158 - Gennifer Weisenfeld.：《Mavo Japanese Artists and the Avant-Garde, 1905-1931》.深度报告.md",Batch 02,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0158-Gennifer-Weisenfeld-Mavo-Japanese-Artists-and-the-Avant-Garde-1905-1931-enhanced.md,,
book,0159,"Geoffrey Alan Jellicoe, Susan Jellicoe",The Landscape of Man,1975,"01-book-report/0159 - Geoffrey Alan Jellicoe, Susan Jellicoe：《The Landscape of Man》，1975.深度报告.md",Batch 07,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0159-Geoffrey-Alan-Jellicoe-Susan-Jellicoe-The-Landscape-of-Man-enhanced.md,,
book,0160,"George, Kenneth M.; Nordholt, Henk Schulte",Outward Appearances Dressing State and Society in Indonesia,待核定,"01-book-report/0160 - George, Kenneth M.; Nordholt, Henk Schulte：《Outward Appearances Dressing State and Society in Indonesia》.深度报告.md",Batch 07,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0160-Henk-Schulte-Nordholt-Kenneth-M-George-Outward-Appearances-enhanced.md,,
book,0161,Gilles Lipovetsky,The Empire of Fashion Dressing Modern Democracy,1987,01-book-report/0161 - Gilles Lipovetsky：《The Empire of Fashion Dressing Modern Democracy》，1987.深度报告.md,Batch 04,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0162,Gillian Naylor,"The arts and crafts movement a study of its sources, ideals and influence on design theory",待核定,"01-book-report/0162 - Gillian Naylor：《The arts and crafts movement a study of its sources, ideals and influence on design theory》.深度报告.md",Batch 01,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0162-Gillian-Naylor-The-Arts-and-Crafts-Movement-enhanced.md,,
book,0163,Giorgio Riello,Cotton The Fabric That Made the Modern World,待核定,01-book-report/0163 - Giorgio Riello：《Cotton The Fabric That Made the Modern World》.深度报告.md,Batch 07,Batch 04、Batch 05,STRUCTURE_COMPLETE,VERIFIED,PARTIAL,NOT_REVIEWED,structure and explicit mapping verified; deep source/evidence verification incomplete,,03-enhanced-report/book-enhanced/0163-Giorgio-Riello-Cotton-The-Fabric-That-Made-the-Modern-World-enhanced.md,,
book,0164,Glenn Adamson,Global Design History,待核定,01-book-report/0164 - Glenn Adamson：《Global Design History》.深度报告.md,Batch 07,Batch 01,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0164-Glenn-Adamson-Global-Design-History-enhanced.md,,
book,0165,"Gombrich, E. H. (Ernst Hans)",The sense of order a study in the psychology of decorative art,待核定,"01-book-report/0165 - Gombrich, E. H. (Ernst Hans)：《The sense of order a study in the psychology of decorative art》.深度报告.md",UNCLASSIFIED,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0166,Goss,French art deco,待核定,01-book-report/0166 - Goss：《French art deco》.深度报告.md,Batch 04,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0166-Goss-French-Art-Deco-enhanced.md,,
book,0167,Graeme Brooker Sally Stone,《Re-Readings 2 Interior Architecture and the Principl,待核定,01-book-report/0167 - Graeme Brooker Sally Stone：《Re-Readings 2 Interior Architecture and the Principl.深度报告.md,Batch 07,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0167-Graeme-Brooker-Sally-Stone-Re-Readings-2-enhanced.md,,
book,0168,Graham Pullin,Design Meets Disability,2009,01-book-report/0168 - Graham Pullin：《Design Meets Disability》，2009.深度报告.md,Batch 06,Batch 04,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0168-Graham-Pullin-Design-Meets-Disability-enhanced.md,,
book,0169,待核定,"Grand Designs Labor, Empire, and the Museum in Victorian Culture",待核定,"01-book-report/0169 - Grand Designs Labor, Empire, and the Museum in Victorian Culture.深度报告.md",Batch 04,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0169-Grand-Designs-Labor-Empire-and-the-Museum-enhanced.md,,
book,0170,Graphic Design Theory,"Readings from the Field (Design -- Armstrong, Helen(Autho",待核定,"01-book-report/0170 - Graphic Design Theory： Readings from the Field (Design -- Armstrong, Helen(Autho.深度报告.md",Batch 05,Batch 02、Batch 01、Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0170-Helen-Armstrong-Graphic-Design-Theory-Readings-from-the-Field-enhanced.md,,
book,0171,Greg Nudelman,Android Design Patterns Interaction Design Solutions for Developers,待核定,01-book-report/0171 - Greg Nudelman：《Android Design Patterns Interaction Design Solutions for Developers》.深度报告.md,Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0172,Greiman,Hybrid imagery the fusion of technology and graphic design,待核定,01-book-report/0172 - Greiman：《Hybrid imagery the fusion of technology and graphic design》.深度报告.md,Batch 05,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0172-April-Greiman-Hybrid-Imagery-enhanced.md,,
book,0173,Guy Julier,From Visual Culture to Design Culture,待核定,01-book-report/0173 - Guy Julier：《From Visual Culture to Design Culture》.深度报告.md,Batch 04,Batch 01,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0173-Guy-Julier-From-Visual-Culture-to-Design-Culture-enhanced.md,,
book,0174,Guy Julier,The Culture of Design,2000,01-book-report/0174 - Guy Julier：《The Culture of Design》，2000.深度报告.md,Batch 04,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0174-Guy-Julier-The-Culture-of-Design-2000-enhanced.md,,
book,0175,"Guy, John","Woven Cargoes：Indian Textiles in the East, 1998",1998,"01-book-report/0175 - Guy, John：Woven Cargoes：Indian Textiles in the East, 1998.深度报告.md",UNCLASSIFIED,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0175-John-Guy-Woven-Cargoes-Indian-Textiles-in-the-East-enhanced.md,,
book,0176,Hans M. Wingler,"The Bauhaus Weimar, Dessau, Berlin, Chicago",1969,"01-book-report/0176 - Hans M. Wingler：《The Bauhaus Weimar, Dessau, Berlin, Chicago》，1969.深度报告.md",Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0177,Hazel Conway,Design history a students handbook,待核定,01-book-report/0177 - Hazel Conway：《Design history a students handbook》.深度报告.md,Batch 04,Batch 01,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0178,"Helen Sharp, Jenny Preece, Yvonne Rogers",Interaction Design Beyond Human-Computer Interaction,2019,"01-book-report/0178 - Helen Sharp, Jenny Preece, Yvonne Rogers：《Interaction Design Beyond Human-Computer Interaction》，2019.深度报告.md",Batch 06,Batch 07,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0178-Helen-Sharp-Jenny-Preece-Yvonne-Rogers-Interaction-Design-Beyond-Human-Computer-Interaction-enhanced.md,,
book,0179,Heller,Paul Rand,待核定,01-book-report/0179 - Heller：《Paul Rand》.深度报告.md,Batch 02,Batch 05、Batch 04,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0179-Steven-Heller-Paul-Rand-enhanced.md,,
book,0180,Henry Dreyfuss,Designing for People,1967,01-book-report/0180 - Henry Dreyfuss：《Designing for People》，1967.深度报告.md,Batch 04,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0180-Henry-Dreyfuss-Designing-for-People-enhanced.md,,
book,0181,Herbert Spencer,Pioneers of Modern Typography,1969,01-book-report/0181 - Herbert Spencer：《Pioneers of Modern Typography》，1969.深度报告.md,Batch 05,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0181-Herbert-Spencer-Pioneers-of-Modern-Typography-enhanced.md,,
book,0182,"Heskett, John","Design：A Very Short Introduction, 2005",2005,"01-book-report/0182 - Heskett, John：Design：A Very Short Introduction, 2005.深度报告.md",Batch 04,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0182-John-Heskett-Design-A-Very-Short-Introduction-enhanced.md,,
book,0183,"Heskett, John",Industrial design,待核定,"01-book-report/0183 - Heskett, John：《Industrial design》.深度报告.md",Batch 04,,N/A,ALIAS_GOVERNED,SEE_CANONICAL_RECORD,SEE_CANONICAL_RECORD,resolved alias of 0219,,03-enhanced-report/book-enhanced/0219-John-Heskett-Industrial-Design-enhanced.md,0219,同一著作的重复目录／OCR入口；规范记录采用作者、年份完整的0219。
book,0184,"Hobsbawm, Eric",Age of Revolution 1789-1848,1848,"01-book-report/0184 - Hobsbawm, Eric：《Age of Revolution 1789-1848》.深度报告.md",Batch 07,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0184-Eric-Hobsbawm-The-Age-of-Revolution-1789-1848-enhanced.md,,
book,0185,Holmes,Mismatch How Inclusion Shapes Design,待核定,01-book-report/0185 - Holmes：《Mismatch How Inclusion Shapes Design》.深度报告.md,Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0186,Hounshell,"《From the American system to mass production, 1800-1932 the developmen",1932,"01-book-report/0186 - Hounshell：《From the American system to mass production, 1800-1932 the developmen.深度报告.md",Batch 04,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0186-Hounshell-From-the-American-System-to-Mass-Production-enhanced.md,,
book,0187,"Hugh Honour, John Fleming",A World History of Art,待核定,"01-book-report/0187 - Hugh Honour, John Fleming：《A World History of Art》.深度报告.md",Batch 07,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0187-Hugh-Honour-John-Fleming-A-World-History-of-Art-enhanced.md,,
book,0188,Ida Engholm,Design for the New World From Human Design to Planet Design,2023,01-book-report/0188 - Ida Engholm：《Design for the New World From Human Design to Planet Design》，2023.深度报告.md,Batch 01,Batch 03、Batch 07、Batch 06,STRUCTURE_COMPLETE,VERIFIED,PARTIAL,NOT_REVIEWED,structure and explicit mapping verified; deep source/evidence verification incomplete,,03-enhanced-report/book-enhanced/0188-Ida-Engholm-Design-for-the-New-World-enhanced.md,,
book,0189,"Ingold, Tim","Making：Anthropology, Archaeology, Art and Architecture, 2010",2010,"01-book-report/0189 - Ingold, Tim：Making：Anthropology, Archaeology, Art and Architecture, 2010.深度报告.md",Batch 04,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0189-Tim-Ingold-Making-enhanced.md,,
book,0190,Isabelle Anscombe,Arts and Crafts Style,待核定,01-book-report/0190 - Isabelle Anscombe：《Arts and Crafts Style》.深度报告.md,Batch 04,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0190-Isabelle-Anscombe-Arts-and-Crafts-Style-enhanced.md,,
book,0191,"James H. Fraser, Steven Heller",Japanese Modern Graphic Design Between the Wars,1996,"01-book-report/0191 - James H. Fraser, Steven Heller：《Japanese Modern Graphic Design Between the Wars》，1996.深度报告.md",Batch 05,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0191-James-H-Fraser-Steven-Heller-Japanese-Modern-Graphic-Design-Between-the-Wars-enhanced.md,,
book,0192,James J. Gibson,The Ecological Approach To Visual Perception,待核定,01-book-report/0192 - James J. Gibson：《The Ecological Approach To Visual Perception》.深度报告.md,Batch 07,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0193,James,Picture this World War I posters and visual culture,待核定,01-book-report/0193 - James：《Picture this World War I posters and visual culture》.深度报告.md,Batch 05,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0193-James-Picture-This-World-War-I-Posters-and-Visual-Culture-enhanced.md,,
book,0194,Jan Borchers,A Pattern Approach to Interaction Design,待核定,01-book-report/0194 - Jan Borchers：《A Pattern Approach to Interaction Design》.深度报告.md,Batch 06,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0194-Jan-Borchers-A-Pattern-Approach-to-Interaction-Design-enhanced.md,,
book,0195,Jane Jacobs,The Death and Life of Great American Cities,1961,01-book-report/0195 - Jane Jacobs：《The Death and Life of Great American Cities》，1961.深度报告.md,UNCLASSIFIED,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0196,Jean Baudrillard,The Consumer Society Myths and Structures,1970,01-book-report/0196 - Jean Baudrillard：《The Consumer Society Myths and Structures》，1970.深度报告.md,Batch 04,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0196-Jean-Baudrillard-The-Consumer-Society-enhanced.md,,
book,0197,Jean Baudrillard,The System Of Objects,1968,01-book-report/0197 - Jean Baudrillard：《The System Of Objects》，1968.深度报告.md,Batch 04,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0197-Jean-Baudrillard-The-System-of-Objects-enhanced.md,,
book,0198,Jeffrey Auerbach,The Great Exhibition of 1851 A Nation on Display,1851,01-book-report/0198 - Jeffrey Auerbach：《The Great Exhibition of 1851 A Nation on Display》.深度报告.md,Batch 07,Batch 04,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0198-Jeffrey-Auerbach-The-Great-Exhibition-of-1851-enhanced.md,,
book,0199,Jeffrey L. Meikle,Design in the USA,待核定,01-book-report/0199 - Jeffrey L. Meikle：《Design in the USA》.深度报告.md,Batch 04,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0199-Jeffrey-L-Meikle-Design-in-the-USA-enhanced.md,,
book,0200,Jeffrey L. Meikle,"Twentieth Century Limited Industrial Design in America, 1925-1939",2001,"01-book-report/0200 - Jeffrey L. Meikle：《Twentieth Century Limited Industrial Design in America, 1925-1939》，2001.深度报告.md",Batch 04,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0200-Jeffrey-L-Meikle-Twentieth-Century-Limited-enhanced.md,,
book,0201,Jenifer Tidwell,Designing Interfaces,待核定,01-book-report/0201 - Jenifer Tidwell：《Designing Interfaces》.深度报告.md,Batch 06,Batch 04,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0202,Jenny L. Davis,How Artifacts Afford The Power and Politics of Everyday Things,待核定,01-book-report/0202 - Jenny L. Davis：《How Artifacts Afford The Power and Politics of Everyday Things》.深度报告.md,Batch 07,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0202-Jenny-L-Davis-How-Artifacts-Afford-enhanced.md,,
book,0203,Jeremy Prestholdt,Domesticating the World African Consumerism and the Genealogies of Globalization,待核定,01-book-report/0203 - Jeremy Prestholdt：《Domesticating the World African Consumerism and the Genealogies of Globalization》.深度报告.md,Batch 07,Batch 04,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0203-Jeremy-Prestholdt-Domesticating-the-World-enhanced.md,,
book,0204,"Joan Greenbaum, Morten Kyng (eds.)",Design at Work Cooperative Design of Computer Systems,待核定,"01-book-report/0204 - Joan Greenbaum, Morten Kyng (eds.)：《Design at Work Cooperative Design of Computer Systems》.深度报告.md",Batch 06,Batch 07,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0204-Joan-Greenbaum-Morten-Kyng-Design-at-Work-enhanced.md,,
book,0205,Joanne Entwistle,"The Fashioned Body Fashion, Dress and Modern Social Theory",2000,"01-book-report/0205 - Joanne Entwistle：《The Fashioned Body Fashion, Dress and Modern Social Theory》，2000.深度报告.md",Batch 04,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0205-Joanne-Entwistle-The-Fashioned-Body-enhanced.md,,
book,0206,Joel Mokyr,The lever of riches - technological creativity and economic progress (1990),1990,01-book-report/0206 - Joel Mokyr：《The lever of riches - technological creativity and economic progress (1990)》.深度报告.md,Batch 07,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0206-Joel-Mokyr-The-Lever-of-Riches-enhanced.md,,
book,0207,Johann Wolfgang von Goethe,Theory of Colours,1810,01-book-report/0207 - Johann Wolfgang von Goethe：《Theory of Colours》，1810.深度报告.md,UNCLASSIFIED,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0208,"Johanna Drucker, Emily McVarish",Graphic Design History A Critical Guide,2009,"01-book-report/0208 - Johanna Drucker, Emily McVarish：《Graphic Design History A Critical Guide》，2009.深度报告.md",Batch 05,Batch 01、Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0208-Johanna-Drucker-Emily-McVarish-Graphic-Design-History-A-Critical-Guide-enhanced.md,,
book,0209,Johanna Drucker,"The Visible Word Experimental Typography and Modern Art, 1909-1923",1994,"01-book-report/0209 - Johanna Drucker：《The Visible Word Experimental Typography and Modern Art, 1909-1923》，1994.深度报告.md",Batch 05,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0209-Johanna-Drucker-The-Visible-Word-enhanced.md,,
book,0210,Johannes Itten,Design and Form The Basic Course at the Bauhaus and Later,待核定,01-book-report/0210 - Johannes Itten：《Design and Form The Basic Course at the Bauhaus and Later》.深度报告.md,Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0211,Johannes Itten,The Art of Color,1961,01-book-report/0211 - Johannes Itten：《The Art of Color》，1961.深度报告.md,Batch 05,Batch 07,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0211-Johannes-Itten-The-Art-of-Color-enhanced.md,,
book,0212,John A. Lent,Asian Comics,待核定,01-book-report/0212 - John A. Lent：《Asian Comics》.深度报告.md,Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0213,John A. Lent,Comics Art in China,待核定,01-book-report/0213 - John A. Lent：《Comics Art in China》.深度报告.md,Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0214,John Barnicoat,Posters A Concise History,1972,01-book-report/0214 - John Barnicoat：《Posters A Concise History》，1972.深度报告.md,Batch 05,Batch 02,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0214-John-Barnicoat-Posters-A-Concise-History-enhanced.md,,
book,0215,John Clifford,Graphic Icons Visionaries Who Shaped Modern Graphic Design,2014,01-book-report/0215 - John Clifford：《Graphic Icons Visionaries Who Shaped Modern Graphic Design》，2014.深度报告.md,Batch 05,Batch 02、Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0215-John-Clifford-Graphic-Icons-enhanced.md,,
book,0216,John E. Bowlt (ed.),Russian Art of the Avant-Garde Theory and Criticism 1902-1934,1976,01-book-report/0216 - John E. Bowlt (ed.)：《Russian Art of the Avant-Garde Theory and Criticism 1902-1934》，1976.深度报告.md,Batch 02,Batch 04,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0217,"John F. Pile, Judith Gura",A History of Interior Design,待核定,"01-book-report/0217 - John F. Pile, Judith Gura：《A History of Interior Design》.深度报告.md",Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0218,John Heskett,Design A Very Short Introduction,待核定,01-book-report/0218 - John Heskett：《Design A Very Short Introduction》.深度报告.md,Batch 04,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0219,John Heskett,Industrial Design,1980,01-book-report/0219 - John Heskett：《Industrial Design》，1980.深度报告.md,Batch 04,,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0219-John-Heskett-Industrial-Design-enhanced.md,,
book,0220,John Heskett,Toothpicks and Logos Design in Everyday Life,待核定,01-book-report/0220 - John Heskett：《Toothpicks and Logos Design in Everyday Life》.深度报告.md,Batch 04,Batch 06,SOURCE_VERIFIED,VERIFIED,SOURCE_VERIFIED_WITH_WARNINGS,NOT_REVIEWED,"structure, mapping, source, metadata, and evidence anchors verified",,03-enhanced-report/book-enhanced/0220-John-Heskett-Toothpicks-and-Logos-enhanced.md,,
book,0221,John M. Carroll (ed.),Human-Computer Interaction in the New Millennium,2002,01-book-report/0221 - John M. Carroll (ed.)：《Human-Computer Interaction in the New Millennium》，2002.深度报告.md,Batch 06,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0222,John Milner,Vladimir Tatlin and the Russian Avant-Garde,1983,01-book-report/0222 - John Milner：《Vladimir Tatlin and the Russian Avant-Garde》，1983.深度报告.md,Batch 02,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0223,"John Pile, Judith Gura, Drew Plunkett","A History of Interior Design, 5th Edition",2023,"01-book-report/0223 - John Pile, Judith Gura, Drew Plunkett：《A History of Interior Design, 5th Edition》，2023.深度报告.md",Batch 04,,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
book,0224,John Thackara,In the Bubble Designing in a Complex World,2005,01-book-report/0224 - John Thackara：《In the Bubble Designing in a Complex World》，2005.深度报告.md,Batch 07,Batch 06,TODO,NOT_STARTED,NOT_STARTED,NOT_STARTED,no enhanced report,,,,
